Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/11/16, 02:03:26, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:03:35, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:03:45, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:03:54, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:04:02, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:04:12, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:04:21, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:04:30, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:04:39, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:04:49, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:04:58, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:05:07, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:05:16, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:05:25, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:05:34, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:05:44, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:05:54, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:06:02, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:06:12, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:06:21, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:06:30, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:06:40, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:06:49, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:06:58, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:07:07, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:07:16, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:07:26, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:07:34, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:07:44, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:07:52, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:08:02, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:08:10, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:08:20, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:08:29, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:08:37, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:08:47, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:08:55, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:09:05, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:09:14, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:09:23, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:09:32, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:09:41, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:09:51, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:09:59, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:10:09, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:10:18, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:10:27, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
